report_id,correct_activity_id,label_type,verification_source
RPT-0490,PIP-082,MATCHED,Synthetic Generator
RPT-0491,PIP-082,MATCHED,Synthetic Generator
RPT-0492,PIP-082,AMBIGUOUS,Synthetic Generator
RPT-0493,PIP-083,MATCHED,Synthetic Generator
RPT-0494,PIP-083,MATCHED,Synthetic Generator
RPT-0495,PIP-083,MATCHED,Synthetic Generator
RPT-0496,PIP-083,MATCHED,Synthetic Generator
RPT-0497,PIP-083,MATCHED,Synthetic Generator
RPT-0498,PIP-083,AMBIGUOUS,Synthetic Generator
RPT-0499,ELE-084,MATCHED,Synthetic Generator
RPT-0500,ELE-084,MATCHED,Synthetic Generator
RPT-0501,ELE-084,MATCHED,Synthetic Generator
RPT-0502,ELE-084,MATCHED,Synthetic Generator
RPT-0503,ELE-084,MATCHED,Synthetic Generator
RPT-0504,ELE-084,AMBIGUOUS,Synthetic Generator
RPT-0505,ELE-085,MATCHED,Synthetic Generator
RPT-0506,ELE-085,MATCHED,Synthetic Generator
RPT-0507,ELE-085,MATCHED,Synthetic Generator
RPT-0508,ELE-085,MATCHED,Synthetic Generator
RPT-0509,ELE-085,MATCHED,Synthetic Generator
RPT-0510,ELE-085,AMBIGUOUS,Synthetic Generator
RPT-0511,ELE-086,MATCHED,Synthetic Generator
RPT-0512,ELE-086,MATCHED,Synthetic Generator
RPT-0513,ELE-086,MATCHED,Synthetic Generator
RPT-0514,ELE-086,MATCHED,Synthetic Generator
RPT-0515,ELE-086,MATCHED,Synthetic Generator
RPT-0516,ELE-086,AMBIGUOUS,Synthetic Generator
RPT-0517,INS-087,MATCHED,Synthetic Generator
RPT-0518,INS-087,MATCHED,Synthetic Generator
RPT-0519,INS-087,MATCHED,Synthetic Generator
RPT-0520,INS-087,MATCHED,Synthetic Generator
RPT-0521,INS-087,MATCHED,Synthetic Generator
RPT-0522,INS-087,AMBIGUOUS,Synthetic Generator
RPT-0523,INS-088,MATCHED,Synthetic Generator
RPT-0524,INS-088,MATCHED,Synthetic Generator
RPT-0525,INS-088,MATCHED,Synthetic Generator
RPT-0526,INS-088,MATCHED,Synthetic Generator
RPT-0527,INS-088,MATCHED,Synthetic Generator
RPT-0528,INS-088,AMBIGUOUS,Synthetic Generator
RPT-0529,INS-089,MATCHED,Synthetic Generator
RPT-0530,INS-089,MATCHED,Synthetic Generator
RPT-0531,INS-089,MATCHED,Synthetic Generator
RPT-0532,INS-089,MATCHED,Synthetic Generator
RPT-0533,INS-089,MATCHED,Synthetic Generator
RPT-0534,INS-089,AMBIGUOUS,Synthetic Generator
RPT-0535,INS-090,MATCHED,Synthetic Generator
RPT-0536,INS-090,MATCHED,Synthetic Generator
RPT-0537,INS-090,MATCHED,Synthetic Generator
RPT-0538,INS-090,MATCHED,Synthetic Generator
RPT-0539,INS-090,MATCHED,Synthetic Generator
RPT-0540,INS-090,AMBIGUOUS,Synthetic Generator
RPT-0541,INS-091,MATCHED,Synthetic Generator
RPT-0542,INS-091,MATCHED,Synthetic Generator
RPT-0543,INS-091,MATCHED,Synthetic Generator
RPT-0544,INS-091,MATCHED,Synthetic Generator
RPT-0545,INS-091,MATCHED,Synthetic Generator
RPT-0546,INS-091,AMBIGUOUS,Synthetic Generator
RPT-0547,INS-092,MATCHED,Synthetic Generator
RPT-0548,INS-092,MATCHED,Synthetic Generator
RPT-0549,INS-092,MATCHED,Synthetic Generator
RPT-0550,INS-092,MATCHED,Synthetic Generator
RPT-0551,INS-092,MATCHED,Synthetic Generator
RPT-0552,INS-092,AMBIGUOUS,Synthetic Generator
RPT-0553,CIV-093,MATCHED,Synthetic Generator
RPT-0554,CIV-093,MATCHED,Synthetic Generator
RPT-0555,CIV-093,MATCHED,Synthetic Generator
RPT-0556,CIV-093,MATCHED,Synthetic Generator
RPT-0557,CIV-093,MATCHED,Synthetic Generator
RPT-0558,CIV-093,AMBIGUOUS,Synthetic Generator
RPT-0559,CIV-094,MATCHED,Synthetic Generator
RPT-0560,CIV-094,MATCHED,Synthetic Generator
RPT-0561,CIV-094,MATCHED,Synthetic Generator
RPT-0562,CIV-094,MATCHED,Synthetic Generator
RPT-0563,CIV-094,MATCHED,Synthetic Generator
RPT-0564,CIV-094,AMBIGUOUS,Synthetic Generator
RPT-0565,CIV-095,MATCHED,Synthetic Generator
RPT-0566,CIV-095,MATCHED,Synthetic Generator
RPT-0567,CIV-095,MATCHED,Synthetic Generator
RPT-0568,CIV-095,MATCHED,Synthetic Generator
RPT-0569,CIV-095,MATCHED,Synthetic Generator
RPT-0570,CIV-095,AMBIGUOUS,Synthetic Generator
RPT-0571,MEC-096,MATCHED,Synthetic Generator
RPT-0572,MEC-096,MATCHED,Synthetic Generator
RPT-0573,MEC-096,MATCHED,Synthetic Generator
RPT-0574,MEC-096,MATCHED,Synthetic Generator
RPT-0575,MEC-096,MATCHED,Synthetic Generator
RPT-0576,MEC-096,AMBIGUOUS,Synthetic Generator
RPT-0577,MEC-097,MATCHED,Synthetic Generator
RPT-0578,MEC-097,MATCHED,Synthetic Generator
RPT-0579,MEC-097,MATCHED,Synthetic Generator
RPT-0580,MEC-097,MATCHED,Synthetic Generator
RPT-0581,MEC-097,MATCHED,Synthetic Generator
RPT-0582,MEC-097,AMBIGUOUS,Synthetic Generator
RPT-0583,MEC-098,MATCHED,Synthetic Generator
RPT-0584,MEC-098,MATCHED,Synthetic Generator
RPT-0585,MEC-098,MATCHED,Synthetic Generator
RPT-0586,MEC-098,MATCHED,Synthetic Generator
RPT-0587,MEC-098,MATCHED,Synthetic Generator
RPT-0588,MEC-098,AMBIGUOUS,Synthetic Generator
RPT-0589,ELE-099,MATCHED,Synthetic Generator
RPT-0590,ELE-099,MATCHED,Synthetic Generator
RPT-0591,ELE-099,MATCHED,Synthetic Generator
RPT-0592,ELE-099,MATCHED,Synthetic Generator
RPT-0593,ELE-099,MATCHED,Synthetic Generator
RPT-0594,ELE-099,AMBIGUOUS,Synthetic Generator
RPT-0595,PIP-100,MATCHED,Synthetic Generator
RPT-0596,PIP-100,MATCHED,Synthetic Generator
RPT-0597,PIP-100,MATCHED,Synthetic Generator
RPT-0598,PIP-100,MATCHED,Synthetic Generator
RPT-0599,PIP-100,MATCHED,Synthetic Generator
RPT-0600,PIP-100,AMBIGUOUS,Synthetic Generator
RPT-0601,PIP-101,MATCHED,Synthetic Generator
RPT-0602,PIP-101,MATCHED,Synthetic Generator
RPT-0603,PIP-101,MATCHED,Synthetic Generator
RPT-0604,PIP-101,MATCHED,Synthetic Generator
RPT-0605,PIP-101,MATCHED,Synthetic Generator
RPT-0606,PIP-101,AMBIGUOUS,Synthetic Generator
RPT-0607,PIP-102,MATCHED,Synthetic Generator
RPT-0608,PIP-102,MATCHED,Synthetic Generator
RPT-0609,PIP-102,MATCHED,Synthetic Generator
RPT-0610,PIP-102,MATCHED,Synthetic Generator
RPT-0611,PIP-102,MATCHED,Synthetic Generator
RPT-0612,PIP-102,AMBIGUOUS,Synthetic Generator
RPT-0613,PIP-103,MATCHED,Synthetic Generator
RPT-0614,PIP-103,MATCHED,Synthetic Generator
RPT-0615,PIP-103,MATCHED,Synthetic Generator
RPT-0616,PIP-103,MATCHED,Synthetic Generator
RPT-0617,PIP-103,MATCHED,Synthetic Generator
RPT-0618,PIP-103,AMBIGUOUS,Synthetic Generator
RPT-0619,PIP-104,MATCHED,Synthetic Generator
RPT-0620,PIP-104,MATCHED,Synthetic Generator
RPT-0621,PIP-104,MATCHED,Synthetic Generator
RPT-0622,PIP-104,MATCHED,Synthetic Generator
RPT-0623,PIP-104,MATCHED,Synthetic Generator
RPT-0624,PIP-104,AMBIGUOUS,Synthetic Generator
RPT-0625,PIP-105,MATCHED,Synthetic Generator
RPT-0626,PIP-105,MATCHED,Synthetic Generator
RPT-0627,PIP-105,MATCHED,Synthetic Generator
RPT-0628,PIP-105,MATCHED,Synthetic Generator
RPT-0629,PIP-105,MATCHED,Synthetic Generator
RPT-0630,PIP-105,AMBIGUOUS,Synthetic Generator
RPT-0631,PIP-106,MATCHED,Synthetic Generator
RPT-0632,PIP-106,MATCHED,Synthetic Generator
RPT-0633,PIP-106,MATCHED,Synthetic Generator
RPT-0634,PIP-106,MATCHED,Synthetic Generator
RPT-0635,PIP-106,MATCHED,Synthetic Generator
RPT-0636,PIP-106,AMBIGUOUS,Synthetic Generator
RPT-0637,PIP-107,MATCHED,Synthetic Generator
RPT-0638,PIP-107,MATCHED,Synthetic Generator
RPT-0639,PIP-107,MATCHED,Synthetic Generator
RPT-0640,PIP-107,MATCHED,Synthetic Generator
RPT-0641,PIP-107,MATCHED,Synthetic Generator
RPT-0642,PIP-107,AMBIGUOUS,Synthetic Generator
RPT-0643,PIP-108,MATCHED,Synthetic Generator
RPT-0644,PIP-108,MATCHED,Synthetic Generator
RPT-0645,PIP-108,MATCHED,Synthetic Generator
RPT-0646,PIP-108,MATCHED,Synthetic Generator
RPT-0647,PIP-108,MATCHED,Synthetic Generator
RPT-0648,PIP-108,AMBIGUOUS,Synthetic Generator
RPT-0649,PIP-109,MATCHED,Synthetic Generator
RPT-0650,PIP-109,MATCHED,Synthetic Generator
RPT-0651,PIP-109,MATCHED,Synthetic Generator
RPT-0652,PIP-109,MATCHED,Synthetic Generator
RPT-0653,PIP-109,MATCHED,Synthetic Generator
RPT-0654,PIP-109,AMBIGUOUS,Synthetic Generator
RPT-0655,ELE-110,MATCHED,Synthetic Generator
RPT-0656,ELE-110,MATCHED,Synthetic Generator
RPT-0657,ELE-110,MATCHED,Synthetic Generator
RPT-0658,ELE-110,MATCHED,Synthetic Generator
RPT-0659,ELE-110,MATCHED,Synthetic Generator
RPT-0660,ELE-110,AMBIGUOUS,Synthetic Generator
RPT-0661,ELE-111,MATCHED,Synthetic Generator
RPT-0662,ELE-111,MATCHED,Synthetic Generator
RPT-0663,ELE-111,MATCHED,Synthetic Generator
RPT-0664,ELE-111,MATCHED,Synthetic Generator
RPT-0665,ELE-111,MATCHED,Synthetic Generator
RPT-0666,ELE-111,AMBIGUOUS,Synthetic Generator
RPT-0667,ELE-112,MATCHED,Synthetic Generator
RPT-0668,ELE-112,MATCHED,Synthetic Generator
RPT-0669,ELE-112,MATCHED,Synthetic Generator
RPT-0670,ELE-112,MATCHED,Synthetic Generator
RPT-0671,ELE-112,MATCHED,Synthetic Generator
RPT-0672,ELE-112,AMBIGUOUS,Synthetic Generator
RPT-0673,INS-113,MATCHED,Synthetic Generator
RPT-0674,INS-113,MATCHED,Synthetic Generator
RPT-0675,INS-113,MATCHED,Synthetic Generator
RPT-0676,INS-113,MATCHED,Synthetic Generator
RPT-0677,INS-113,MATCHED,Synthetic Generator
RPT-0678,INS-113,AMBIGUOUS,Synthetic Generator
RPT-0679,INS-114,MATCHED,Synthetic Generator
RPT-0680,INS-114,MATCHED,Synthetic Generator
RPT-0681,INS-114,MATCHED,Synthetic Generator
RPT-0682,INS-114,MATCHED,Synthetic Generator
RPT-0683,INS-114,MATCHED,Synthetic Generator
RPT-0684,INS-114,AMBIGUOUS,Synthetic Generator
RPT-0685,INS-115,MATCHED,Synthetic Generator
RPT-0686,INS-115,MATCHED,Synthetic Generator
RPT-0687,INS-115,MATCHED,Synthetic Generator
RPT-0688,INS-115,MATCHED,Synthetic Generator
RPT-0689,INS-115,MATCHED,Synthetic Generator
RPT-0690,INS-115,AMBIGUOUS,Synthetic Generator
RPT-0691,INS-116,MATCHED,Synthetic Generator
RPT-0692,INS-116,MATCHED,Synthetic Generator
RPT-0693,INS-116,MATCHED,Synthetic Generator
RPT-0694,INS-116,MATCHED,Synthetic Generator
RPT-0695,INS-116,MATCHED,Synthetic Generator
RPT-0696,INS-116,AMBIGUOUS,Synthetic Generator
RPT-0697,INS-117,MATCHED,Synthetic Generator
RPT-0698,INS-117,MATCHED,Synthetic Generator
RPT-0699,INS-117,MATCHED,Synthetic Generator
RPT-0700,INS-117,MATCHED,Synthetic Generator
RPT-0701,INS-117,MATCHED,Synthetic Generator
RPT-0702,INS-117,AMBIGUOUS,Synthetic Generator
RPT-0703,INS-118,MATCHED,Synthetic Generator
RPT-0704,INS-118,MATCHED,Synthetic Generator
RPT-0705,INS-118,MATCHED,Synthetic Generator
RPT-0706,INS-118,MATCHED,Synthetic Generator
RPT-0707,INS-118,MATCHED,Synthetic Generator
RPT-0708,INS-118,AMBIGUOUS,Synthetic Generator
RPT-0709,,UNMATCHED,Synthetic Generator
RPT-0710,,UNMATCHED,Synthetic Generator
RPT-0711,,UNMATCHED,Synthetic Generator
RPT-0712,,UNMATCHED,Synthetic Generator
RPT-0713,,UNMATCHED,Synthetic Generator
RPT-0714,,UNMATCHED,Synthetic Generator
RPT-0715,,UNMATCHED,Synthetic Generator
RPT-0716,,UNMATCHED,Synthetic Generator
RPT-0717,,UNMATCHED,Synthetic Generator
RPT-0718,,UNMATCHED,Synthetic Generator
RPT-0719,,UNMATCHED,Synthetic Generator
RPT-0720,,UNMATCHED,Synthetic Generator
RPT-0721,,UNMATCHED,Synthetic Generator
RPT-0722,,UNMATCHED,Synthetic Generator
RPT-0723,,UNMATCHED,Synthetic Generator
RPT-0724,,UNMATCHED,Synthetic Generator
RPT-0725,,UNMATCHED,Synthetic Generator
RPT-0726,,UNMATCHED,Synthetic Generator
RPT-0727,,UNMATCHED,Synthetic Generator
RPT-0728,,UNMATCHED,Synthetic Generator
RPT-0729,,UNMATCHED,Synthetic Generator
RPT-0730,,UNMATCHED,Synthetic Generator
RPT-0731,,UNMATCHED,Synthetic Generator
RPT-0732,,UNMATCHED,Synthetic Generator
RPT-0733,,UNMATCHED,Synthetic Generator
RPT-0734,,UNMATCHED,Synthetic Generator
RPT-0735,,UNMATCHED,Synthetic Generator
RPT-0736,,UNMATCHED,Synthetic Generator
RPT-0737,,UNMATCHED,Synthetic Generator
RPT-0738,,UNMATCHED,Synthetic Generator
