report_id,report_date,source_type,raw_text,report_category,expected_event_type,expected_progress
RPT-0292,2026-01-27,DPR,pa b sp-101 joint fitup work done,Noisy,FINISH,100
RPT-0293,2026-01-27,Supervisor Text,SP101 work 25% complete.,Incomplete,PROGRESS,25
RPT-0294,2026-01-27,Supervisor Text,Spool work finished.,Ambiguous,FINISH,100
RPT-0295,2026-01-30,Field App,Piping update: joint welding of sp-101 completed at pump B.,Normal,FINISH,100
RPT-0296,2026-01-29,DPR,Weld work for sp-101 finished at PA-B.,Normal,FINISH,100
RPT-0297,2026-01-29,DPR,SP101 weld 50% complete.,Abbreviation,PROGRESS,50
RPT-0298,2026-01-31,Voice Transcript,pa b sp-101 weld work finished,Noisy,FINISH,100
RPT-0299,2026-01-30,Supervisor Text,sp-101 work finished.,Incomplete,FINISH,100
RPT-0300,2026-01-29,Field App,Spool work update: completed.,Ambiguous,FINISH,100
RPT-0301,2026-02-03,Voice Transcript,Weld Work work for SP 101 done at PA B.,Normal,FINISH,100
RPT-0302,2026-02-02,DPR,Weld Work work for SP101 finished at PA-B.,Normal,FINISH,100
RPT-0303,2026-02-02,DPR,sp-101 weld finished @ pump B,Abbreviation,FINISH,100
RPT-0304,2026-02-02,Field App,sp-101 weld finished at pa b,Noisy,FINISH,100
RPT-0305,2026-02-03,DPR,sp-101 work started.,Incomplete,START,0
RPT-0306,2026-02-03,DPR,Spool work finished.,Ambiguous,FINISH,100
RPT-0307,2026-02-05,DPR,Piping update: hydro testing of SP101 done at pump B.,Normal,FINISH,100
RPT-0308,2026-02-05,Supervisor Text,Hydrotest work for SP 101 done at Pump Area B.,Normal,FINISH,100
RPT-0309,2026-02-06,Voice Transcript,sp-101 hydrotest 60% complete.,Abbreviation,PROGRESS,60
RPT-0310,2026-02-05,Supervisor Text,pump b sp 101 testing work completd,Noisy,FINISH,100
RPT-0311,2026-02-06,Field App,SP-101 hydro testing 75% complete.,Incomplete,PROGRESS,75
RPT-0312,2026-02-06,Voice Transcript,Spool work 40% complete.,Ambiguous,PROGRESS,40
RPT-0313,2026-01-23,Voice Transcript,Installation work for SP 103 completed at Pump Area B.,Normal,FINISH,100
RPT-0314,2026-01-23,DPR,Install work for sp-103 60% complete at Pump Area B.,Normal,PROGRESS,60
RPT-0315,2026-01-23,Voice Transcript,pump B: SP 103 install 90% complete,Abbreviation,PROGRESS,90
RPT-0316,2026-01-22,Supervisor Text,sp103 mounted 75% complete at pa-b,Noisy,PROGRESS,75
RPT-0317,2026-01-23,Voice Transcript,Install work completed.,Incomplete,FINISH,100
RPT-0318,2026-01-24,Voice Transcript,Spool work update: completed.,Ambiguous,FINISH,100
RPT-0319,2026-01-26,Voice Transcript,sp-103 joint fitup 25% complete in Pump Area B.,Normal,PROGRESS,25
RPT-0320,2026-01-26,Supervisor Text,sp-103 joint preparation done in PA B.,Normal,FINISH,100
RPT-0321,2026-01-27,Supervisor Text,pump B: SP103 fit up completed,Abbreviation,FINISH,100
RPT-0322,2026-01-27,Voice Transcript,pa-b sp-103 fit up work 75% complete,Noisy,PROGRESS,75
RPT-0323,2026-01-26,Voice Transcript,Fit-Up work finished.,Incomplete,FINISH,100
RPT-0324,2026-01-27,Field App,Spool work 90% complete.,Ambiguous,PROGRESS,90
RPT-0325,2026-01-31,Voice Transcript,SP103 joint welding completed in pump B.,Normal,FINISH,100
RPT-0326,2026-01-31,DPR,Piping update: weld work of sp-103 60% complete at Pump Area B.,Normal,PROGRESS,60
RPT-0327,2026-01-29,Voice Transcript,SP103 welding finished.,Abbreviation,FINISH,100
RPT-0328,2026-01-30,Field App,sp 103 weld started at pump b,Noisy,START,0
RPT-0329,2026-01-31,Field App,Weld Work work done.,Incomplete,FINISH,100
RPT-0330,2026-01-29,DPR,Weld completed.,Ambiguous,FINISH,100
RPT-0331,2026-02-03,Field App,SP103 weld work 75% complete in PA B.,Normal,PROGRESS,75
RPT-0332,2026-02-03,Supervisor Text,Piping update: weld of SP 103 done at pump B.,Normal,FINISH,100
RPT-0333,2026-02-02,Field App,SP-103 weld done.,Abbreviation,FINISH,100
RPT-0334,2026-02-03,Field App,pa-b sp103 weldng work begun,Noisy,START,0
RPT-0335,2026-02-02,Field App,Joint Welding work 75% complete.,Incomplete,PROGRESS,75
RPT-0336,2026-02-02,Supervisor Text,Spool work finished.,Ambiguous,FINISH,100
RPT-0337,2026-02-06,Field App,SP-103 pressure test 90% complete in Pump Area B.,Normal,PROGRESS,90
RPT-0338,2026-02-06,DPR,SP 103 hydro testing finished in pump B.,Normal,FINISH,100
RPT-0339,2026-02-05,Field App,sp-103 hydro testing finished.,Abbreviation,FINISH,100
RPT-0340,2026-02-05,Voice Transcript,pa b sp103 hydrotest work completd,Noisy,FINISH,100
RPT-0341,2026-02-05,Field App,Testing work completed.,Incomplete,FINISH,100
RPT-0342,2026-02-05,Supervisor Text,Spool work update: done.,Ambiguous,FINISH,100
RPT-0343,2026-01-26,Voice Transcript,Electrical update: installation of ct-102 begun at PA-B.,Normal,START,0
RPT-0344,2026-01-24,DPR,Mounted work for ct-102 done at pump B.,Normal,FINISH,100
RPT-0345,2026-01-26,Supervisor Text,CT 102 erection 25% complete @ Pump Area B,Abbreviation,PROGRESS,25
RPT-0346,2026-01-26,DPR,ct-102 placed finished at pump b,Noisy,FINISH,100
RPT-0347,2026-01-25,DPR,CT 102 mounted finished.,Incomplete,FINISH,100
RPT-0348,2026-01-25,Supervisor Text,Install completed.,Ambiguous,PROGRESS,75
RPT-0349,2026-01-30,Supervisor Text,Cable Pulling work for CT-102 started at pump B.,Normal,START,0
RPT-0350,2026-01-28,DPR,Cables Routed work for ct-102 started at PA-B.,Normal,START,0
RPT-0351,2026-01-29,Supervisor Text,CT 102 pull cables 60% complete.,Abbreviation,PROGRESS,60
RPT-0352,2026-01-29,Field App,ct-102 pull cables 90% complete at pa-b,Noisy,PROGRESS,90
RPT-0353,2026-01-28,Voice Transcript,Cables Routed work 25% complete.,Incomplete,PROGRESS,25
RPT-0354,2026-01-30,DPR,Electrical work done.,Ambiguous,FINISH,100
RPT-0355,2026-02-01,DPR,CT 102 terminate cables done in PA B.,Normal,FINISH,100
RPT-0356,2026-02-01,Voice Transcript,CT 102 cables terminated 50% complete in Pump Area B.,Normal,PROGRESS,50
RPT-0357,2026-02-01,Voice Transcript,PA B: CT 102 terminate cables 50% complete,Abbreviation,PROGRESS,50
RPT-0358,2026-02-01,DPR,pump area b ct-102 cable termination work 75% complete,Noisy,PROGRESS,75
RPT-0359,2026-02-01,Field App,Terminate Cables work started.,Incomplete,START,0
RPT-0360,2026-02-02,Supervisor Text,Electrical work update: started.,Ambiguous,START,0
RPT-0361,2026-01-30,Voice Transcript,PT102 mounted finished in Pump Area B.,Normal,FINISH,100
RPT-0362,2026-01-30,Field App,PT-102 installation 75% complete in Pump Area B.,Normal,PROGRESS,75
RPT-0363,2026-01-31,DPR,pt-102 install 60% complete.,Abbreviation,PROGRESS,60
RPT-0364,2026-01-31,DPR,pt-102 mounted started at pa-b,Noisy,START,0
RPT-0365,2026-01-30,Voice Transcript,Erection work 10% complete.,Incomplete,PROGRESS,10
RPT-0366,2026-01-30,Field App,Instrument work update: 90% complete.,Ambiguous,PROGRESS,90
RPT-0367,2026-02-03,Field App,Instrumentation update: calibration of PT102 finished at PA-B.,Normal,FINISH,100
RPT-0368,2026-02-03,Supervisor Text,Instrumentation update: calibrate of PT-102 finished at PA-B.,Normal,FINISH,100
RPT-0369,2026-02-02,Field App,PT 102 calibrate begun.,Abbreviation,START,0
RPT-0370,2026-02-02,Voice Transcript,pt 102 calibrtn 60% complete at pump area b,Noisy,PROGRESS,60
RPT-0371,2026-02-02,Voice Transcript,PT-102 calibration done.,Incomplete,FINISH,100
RPT-0372,2026-02-03,Voice Transcript,Instrument work 10% complete.,Ambiguous,PROGRESS,10
RPT-0373,2026-02-05,DPR,Instrumentation update: loop check of PT102 completed at pump B.,Normal,FINISH,100
RPT-0374,2026-02-06,Voice Transcript,PT-102 signal check finished in Pump Area B.,Normal,FINISH,100
RPT-0375,2026-02-05,Field App,PA B: PT102 loop check 10% complete,Abbreviation,PROGRESS,10
RPT-0376,2026-02-06,Voice Transcript,pt102 signal check commenced at pa b,Noisy,START,0
RPT-0377,2026-02-06,DPR,PT102 loop check 90% complete.,Incomplete,PROGRESS,90
RPT-0378,2026-02-05,DPR,Instrument work update: finished.,Ambiguous,FINISH,100
RPT-0379,2026-01-31,Field App,TT102 installation done in Pump Area B.,Normal,FINISH,100
RPT-0380,2026-01-31,DPR,TT 102 install done in Pump Area B.,Normal,FINISH,100
RPT-0381,2026-01-30,Voice Transcript,pump B: TT-102 mounted finished,Abbreviation,FINISH,100
RPT-0382,2026-01-30,Field App,tt102 instalation begun at pa b,Noisy,START,0
RPT-0383,2026-01-31,Supervisor Text,TT-102 installation 10% complete.,Incomplete,PROGRESS,10
RPT-0384,2026-01-31,Field App,Instrument work update: finished.,Ambiguous,FINISH,100
RPT-0385,2026-02-03,DPR,Instrumentation update: calibration of tt-102 completed at PA B.,Normal,FINISH,100
RPT-0386,2026-02-03,DPR,Calibrate work for TT-102 finished at PA-B.,Normal,FINISH,100
RPT-0387,2026-02-03,DPR,TT 102 calibration started.,Abbreviation,START,0
RPT-0388,2026-02-03,Field App,pa b tt 102 calibrate work done,Noisy,FINISH,100
RPT-0389,2026-02-02,Field App,Calibrate work 60% complete.,Incomplete,PROGRESS,60
RPT-0390,2026-02-03,DPR,Calibrate completed.,Ambiguous,FINISH,100
RPT-0391,2026-02-06,DPR,Signal Check work for TT102 completed at pump B.,Normal,FINISH,100
RPT-0392,2026-02-05,DPR,TT102 loop testing done in pump B.,Normal,FINISH,100
RPT-0393,2026-02-06,Field App,tt-102 loop testing finished @ Pump Area B,Abbreviation,FINISH,100
RPT-0394,2026-02-06,Voice Transcript,pa b tt 102 signal check work finished,Noisy,FINISH,100
RPT-0395,2026-02-05,DPR,TT-102 loop check finished.,Incomplete,FINISH,100
RPT-0396,2026-02-06,Field App,Instrument work update: completed.,Ambiguous,FINISH,100
RPT-0397,2026-01-21,Supervisor Text,Excavate work for f-201 completed at PR-C.,Normal,FINISH,100
RPT-0398,2026-01-19,Field App,Excavation work for F-201 75% complete at Process Area C.,Normal,PROGRESS,75
RPT-0399,2026-01-20,Field App,Process C: f-201 excavate commenced,Abbreviation,START,0
RPT-0400,2026-01-19,Voice Transcript,f-201 foundtn digging finished at pr-c,Noisy,FINISH,100
RPT-0401,2026-01-19,Field App,F201 excavate completed.,Incomplete,FINISH,100
RPT-0402,2026-01-19,DPR,Foundation Digging completed.,Ambiguous,PROGRESS,40
RPT-0403,2026-01-25,DPR,Pour Concrete work for F201 started at Process C.,Normal,START,0
RPT-0404,2026-01-26,Voice Transcript,f-201 concrete casting finished in Process Area C.,Normal,FINISH,100
RPT-0405,2026-01-25,Supervisor Text,f-201 concreting completed @ Process Area C,Abbreviation,FINISH,100
RPT-0406,2026-01-26,Voice Transcript,process area c f201 concrete casting work finished,Noisy,FINISH,100
RPT-0407,2026-01-24,Voice Transcript,Cast work begun.,Incomplete,START,0
RPT-0408,2026-01-25,Voice Transcript,Foundation work update: done.,Ambiguous,FINISH,100
RPT-0409,2026-01-29,DPR,f-201 curing done in PR-C.,Normal,FINISH,100
RPT-0410,2026-02-01,Supervisor Text,F201 curing completed in Process Area C.,Normal,FINISH,100
RPT-0411,2026-01-29,Supervisor Text,F201 cure 25% complete.,Abbreviation,PROGRESS,25
RPT-0412,2026-01-29,Field App,f-201 curing done at process area c,Noisy,FINISH,100
RPT-0413,2026-01-30,Field App,F 201 work 90% complete.,Incomplete,PROGRESS,90
RPT-0414,2026-01-31,DPR,Foundation work 25% complete.,Ambiguous,PROGRESS,25
RPT-0415,2026-02-04,DPR,Mechanical update: installation of P201 completed at Process C.,Normal,FINISH,100
RPT-0416,2026-02-04,DPR,Erection work for P201 finished at Process Area C.,Normal,FINISH,100
RPT-0417,2026-02-04,Voice Transcript,P201 placed done @ Process Area C,Abbreviation,FINISH,100
RPT-0418,2026-02-05,Voice Transcript,p 201 instalation 40% complete at pr-c,Noisy,PROGRESS,40
RPT-0419,2026-02-05,Supervisor Text,P 201 work 50% complete.,Incomplete,PROGRESS,50
RPT-0420,2026-02-04,Field App,Equipment work update: finished.,Ambiguous,FINISH,100
RPT-0421,2026-02-07,Supervisor Text,Alignment work for P-201 finished at Process C.,Normal,FINISH,100
RPT-0422,2026-02-08,DPR,Align work for P201 begun at Process C.,Normal,START,0
RPT-0423,2026-02-08,Voice Transcript,P 201 align finished.,Abbreviation,FINISH,100
RPT-0424,2026-02-07,DPR,process area c p201 align work done,Noisy,FINISH,100
RPT-0425,2026-02-08,Voice Transcript,Alignment work completed.,Incomplete,FINISH,100
RPT-0426,2026-02-07,Field App,Equipment work update: finished.,Ambiguous,FINISH,100
RPT-0427,2026-02-10,DPR,P-201 inspect done in PR-C.,Normal,FINISH,100
RPT-0428,2026-02-11,Voice Transcript,Inspect work for p-201 finished at Process Area C.,Normal,FINISH,100
RPT-0429,2026-02-10,DPR,P201 quality check 50% complete @ Process C,Abbreviation,PROGRESS,50
RPT-0430,2026-02-11,Field App,pr-c p201 checked work finished,Noisy,FINISH,100
RPT-0431,2026-02-11,DPR,p-201 quality check completed.,Incomplete,FINISH,100
RPT-0432,2026-02-10,Field App,Equipment work completed.,Ambiguous,FINISH,100
RPT-0433,2026-02-14,Voice Transcript,P 201 power connected completed in Process Area C.,Normal,FINISH,100
RPT-0434,2026-02-13,Supervisor Text,P 201 motor power hookup finished in Process Area C.,Normal,FINISH,100
RPT-0435,2026-02-14,Voice Transcript,Process Area C: P 201 power connected started,Abbreviation,START,0
RPT-0436,2026-02-13,Supervisor Text,p 201 motor connection completd at process c,Noisy,FINISH,100
RPT-0437,2026-02-14,Voice Transcript,Motor Connection work 50% complete.,Incomplete,PROGRESS,50
RPT-0438,2026-02-13,Field App,Motor Connection completed.,Ambiguous,PROGRESS,25
RPT-0439,2026-01-29,DPR,Installation work for sp-201 completed at Process Area C.,Normal,FINISH,100
RPT-0440,2026-01-30,DPR,sp-201 installation finished in Process Area C.,Normal,FINISH,100
RPT-0441,2026-01-30,DPR,sp-201 erection done.,Abbreviation,FINISH,100
RPT-0442,2026-01-29,DPR,sp-201 mounted 60% complete at process area c,Noisy,PROGRESS,60
RPT-0443,2026-01-30,Voice Transcript,Placed work begun.,Incomplete,START,0
RPT-0444,2026-01-30,Field App,Installation completed.,Ambiguous,PROGRESS,60
RPT-0445,2026-02-02,DPR,sp-201 joint preparation 75% complete in Process Area C.,Normal,PROGRESS,75
RPT-0446,2026-02-03,Supervisor Text,SP 201 fit up 40% complete in Process Area C.,Normal,PROGRESS,40
RPT-0447,2026-02-03,Supervisor Text,Process Area C: SP-201 joint fitup 90% complete,Abbreviation,PROGRESS,90
RPT-0448,2026-02-02,Voice Transcript,process c sp-201 fit-up work completd,Noisy,FINISH,100
RPT-0449,2026-02-03,Voice Transcript,SP 201 joint fitup 90% complete.,Incomplete,PROGRESS,90
RPT-0450,2026-02-02,DPR,Spool work completed.,Ambiguous,FINISH,100
RPT-0451,2026-02-06,Voice Transcript,SP 201 welding done in Process C.,Normal,FINISH,100
RPT-0452,2026-02-07,Voice Transcript,SP-201 weld work 10% complete in Process Area C.,Normal,PROGRESS,10
RPT-0453,2026-02-06,DPR,sp-201 weld work done @ Process C,Abbreviation,FINISH,100
RPT-0454,2026-02-05,Field App,sp-201 weldng finished at process area c,Noisy,FINISH,100
RPT-0455,2026-02-05,Voice Transcript,sp-201 work 40% complete.,Incomplete,PROGRESS,40
RPT-0456,2026-02-07,Supervisor Text,Weld completed.,Ambiguous,START,0
RPT-0457,2026-02-10,Supervisor Text,SP 201 joint welding 75% complete in PR-C.,Normal,PROGRESS,75
RPT-0458,2026-02-09,Supervisor Text,Joint Welding work for SP 201 finished at Process C.,Normal,FINISH,100
RPT-0459,2026-02-09,Supervisor Text,PR-C: SP 201 weld 60% complete,Abbreviation,PROGRESS,60
RPT-0460,2026-02-09,Field App,pr-c sp 201 weld work work commenced,Noisy,START,0
RPT-0461,2026-02-09,DPR,Joint Welding work finished.,Incomplete,FINISH,100
RPT-0462,2026-02-09,Field App,Joint Welding completed.,Ambiguous,PROGRESS,40
RPT-0463,2026-02-13,Field App,SP201 testing finished in Process C.,Normal,FINISH,100
RPT-0464,2026-02-12,Supervisor Text,SP201 hydrotest 60% complete in PR-C.,Normal,PROGRESS,60
RPT-0465,2026-02-12,Field App,SP201 hydro testing 60% complete.,Abbreviation,PROGRESS,60
RPT-0466,2026-02-13,Voice Transcript,pr-c sp 201 hydro testing work done,Noisy,FINISH,100
RPT-0467,2026-02-12,Voice Transcript,sp-201 hydrotest begun.,Incomplete,START,0
RPT-0468,2026-02-13,Voice Transcript,Spool work completed.,Ambiguous,FINISH,100
RPT-0469,2026-01-29,Voice Transcript,Erection work for sp-202 commenced at Process Area C.,Normal,START,0
RPT-0470,2026-01-30,Field App,SP202 install completed in PR-C.,Normal,FINISH,100
RPT-0471,2026-01-31,Voice Transcript,SP202 install 25% complete @ PR-C,Abbreviation,PROGRESS,25
RPT-0472,2026-01-29,Field App,sp-202 mounted 50% complete at pr-c,Noisy,PROGRESS,50
RPT-0473,2026-01-31,DPR,SP 202 installation 10% complete.,Incomplete,PROGRESS,10
RPT-0474,2026-01-29,DPR,Erection completed.,Ambiguous,PROGRESS,25
RPT-0475,2026-02-03,Voice Transcript,SP 202 fit-up completed in Process Area C.,Normal,FINISH,100
RPT-0476,2026-02-03,Supervisor Text,SP 202 joint fitup 60% complete in PR-C.,Normal,PROGRESS,60
RPT-0477,2026-02-02,Field App,sp-202 joint fitup 25% complete @ Process Area C,Abbreviation,PROGRESS,25
RPT-0478,2026-02-03,Supervisor Text,sp202 fit up 60% complete at process area c,Noisy,PROGRESS,60
RPT-0479,2026-02-02,DPR,SP-202 work 60% complete.,Incomplete,PROGRESS,60
RPT-0480,2026-02-03,Voice Transcript,Spool work done.,Ambiguous,FINISH,100
RPT-0481,2026-02-05,Supervisor Text,Piping update: joint welding of SP-202 25% complete at PR-C.,Normal,PROGRESS,25
RPT-0482,2026-02-07,DPR,Piping update: weld of SP202 75% complete at PR-C.,Normal,PROGRESS,75
RPT-0483,2026-02-06,Field App,SP-202 welding finished @ PR-C,Abbreviation,FINISH,100
RPT-0484,2026-02-05,Voice Transcript,pr-c sp-202 weldng work completd,Noisy,FINISH,100
RPT-0485,2026-02-07,Voice Transcript,SP-202 work completed.,Incomplete,FINISH,100
RPT-0486,2026-02-05,Supervisor Text,Spool work update: finished.,Ambiguous,FINISH,100
RPT-0487,2026-02-09,Field App,Joint Welding work for SP 202 50% complete at PR-C.,Normal,PROGRESS,50
RPT-0488,2026-02-09,DPR,Piping update: weld work of SP 202 begun at PR-C.,Normal,START,0
RPT-0489,2026-02-09,Supervisor Text,SP-202 welding commenced.,Abbreviation,START,0
RPT-0490,2026-02-10,Supervisor Text,sp-202 weld work finished at process c,Noisy,FINISH,100
RPT-0491,2026-02-10,Voice Transcript,Joint Welding work done.,Incomplete,FINISH,100
RPT-0492,2026-02-09,Field App,Spool work update: 90% complete.,Ambiguous,PROGRESS,90
RPT-0493,2026-02-13,Supervisor Text,Piping update: testing of sp-202 completed at Process C.,Normal,FINISH,100
RPT-0494,2026-02-13,Voice Transcript,Testing work for SP202 90% complete at PR-C.,Normal,PROGRESS,90
RPT-0495,2026-02-12,Supervisor Text,SP 202 hydro testing completed.,Abbreviation,FINISH,100
RPT-0496,2026-02-13,Field App,pr-c sp-202 pressure test work done,Noisy,FINISH,100
RPT-0497,2026-02-13,Voice Transcript,SP-202 work 60% complete.,Incomplete,PROGRESS,60
RPT-0498,2026-02-13,DPR,Hydro Testing completed.,Ambiguous,START,0
RPT-0499,2026-02-01,Voice Transcript,ct-201 installation completed in PR-C.,Normal,FINISH,100
RPT-0500,2026-02-02,DPR,ct-201 erection completed in PR-C.,Normal,FINISH,100
RPT-0501,2026-01-31,Supervisor Text,ct-201 placed finished @ Process Area C,Abbreviation,FINISH,100
RPT-0502,2026-01-31,Field App,process c ct201 mounted work begun,Noisy,START,0
RPT-0503,2026-02-01,DPR,ct-201 work 40% complete.,Incomplete,PROGRESS,40
RPT-0504,2026-02-01,Supervisor Text,Electrical work update: done.,Ambiguous,FINISH,100
RPT-0505,2026-02-06,Voice Transcript,Electrical update: cable pulling of CT201 10% complete at PR-C.,Normal,PROGRESS,10
RPT-0506,2026-02-05,Field App,Cable Pulling work for CT201 done at Process Area C.,Normal,FINISH,100
RPT-0507,2026-02-06,DPR,ct-201 cables routed 10% complete.,Abbreviation,PROGRESS,10
RPT-0508,2026-02-05,DPR,ct-201 cables routed 50% complete at process c,Noisy,PROGRESS,50
RPT-0509,2026-02-06,Field App,Pull Cables work finished.,Incomplete,FINISH,100
RPT-0510,2026-02-06,Supervisor Text,Electrical work update: 25% complete.,Ambiguous,PROGRESS,25
RPT-0511,2026-02-09,Voice Transcript,Cables Terminated work for ct-201 finished at PR-C.,Normal,FINISH,100
RPT-0512,2026-02-09,Supervisor Text,CT 201 cable termination started in PR-C.,Normal,START,0
RPT-0513,2026-02-09,Supervisor Text,CT201 cable termination 60% complete.,Abbreviation,PROGRESS,60
RPT-0514,2026-02-08,Supervisor Text,process c ct201 cables terminated work started,Noisy,START,0
RPT-0515,2026-02-09,Voice Transcript,ct-201 work 60% complete.,Incomplete,PROGRESS,60
RPT-0516,2026-02-08,DPR,Electrical work 60% complete.,Ambiguous,PROGRESS,60
RPT-0517,2026-02-07,Field App,Erection work for PT201 completed at PR-C.,Normal,FINISH,100
RPT-0518,2026-02-06,Voice Transcript,Instrumentation update: install of PT 201 10% complete at PR-C.,Normal,PROGRESS,10
RPT-0519,2026-02-07,Supervisor Text,Process C: PT 201 install done,Abbreviation,FINISH,100
RPT-0520,2026-02-06,Supervisor Text,process area c pt-201 erction work started,Noisy,START,0
RPT-0521,2026-02-07,Field App,Installation work 60% complete.,Incomplete,PROGRESS,60
RPT-0522,2026-02-06,Voice Transcript,Instrument work update: commenced.,Ambiguous,START,0
RPT-0523,2026-02-10,DPR,Calibration work for PT 201 completed at Process C.,Normal,FINISH,100
RPT-0524,2026-02-09,Supervisor Text,Instrumentation update: calibrate of PT201 done at Process Area C.,Normal,FINISH,100
RPT-0525,2026-02-09,DPR,PT 201 calibration finished @ Process Area C,Abbreviation,FINISH,100
RPT-0526,2026-02-10,Field App,pt-201 calibrtn 25% complete at process c,Noisy,PROGRESS,25
RPT-0527,2026-02-10,DPR,PT 201 calibration begun.,Incomplete,START,0
RPT-0528,2026-02-09,DPR,Instrument work update: finished.,Ambiguous,FINISH,100
RPT-0529,2026-02-13,DPR,pt-201 signal check 40% complete in Process Area C.,Normal,PROGRESS,40
RPT-0530,2026-02-12,Supervisor Text,PT 201 loop testing begun in Process C.,Normal,START,0
RPT-0531,2026-02-12,DPR,PT201 loop testing started @ PR-C,Abbreviation,START,0
RPT-0532,2026-02-12,Voice Transcript,pt201 signal check 25% complete at process c,Noisy,PROGRESS,25
RPT-0533,2026-02-13,DPR,PT201 work 10% complete.,Incomplete,PROGRESS,10
RPT-0534,2026-02-12,Supervisor Text,Instrument work finished.,Ambiguous,FINISH,100
RPT-0535,2026-02-06,Voice Transcript,ft-201 mounted done in Process C.,Normal,FINISH,100
RPT-0536,2026-02-06,DPR,Placed work for FT-201 60% complete at Process C.,Normal,PROGRESS,60
RPT-0537,2026-02-07,Voice Transcript,FT-201 erection finished @ PR-C,Abbreviation,FINISH,100
RPT-0538,2026-02-06,Voice Transcript,ft-201 instalation finished at pr-c,Noisy,FINISH,100
RPT-0539,2026-02-07,DPR,Installation work 90% complete.,Incomplete,PROGRESS,90
RPT-0540,2026-02-07,DPR,Instrument work 60% complete.,Ambiguous,PROGRESS,60
RPT-0541,2026-02-09,Field App,Instrumentation update: calibration of FT 201 finished at Process Area C.,Normal,FINISH,100
RPT-0542,2026-02-09,Voice Transcript,Instrumentation update: calibrate of FT 201 completed at Process Area C.,Normal,FINISH,100
RPT-0543,2026-02-09,Field App,Process C: FT 201 calibrate 10% complete,Abbreviation,PROGRESS,10
RPT-0544,2026-02-09,Supervisor Text,ft 201 calibrate 50% complete at pr-c,Noisy,PROGRESS,50
RPT-0545,2026-02-10,Field App,Calibration work 25% complete.,Incomplete,PROGRESS,25
RPT-0546,2026-02-10,Field App,Instrument work 40% complete.,Ambiguous,PROGRESS,40
RPT-0547,2026-02-13,Voice Transcript,Signal Check work for ft-201 75% complete at PR-C.,Normal,PROGRESS,75
RPT-0548,2026-02-12,DPR,Signal Check work for FT 201 finished at PR-C.,Normal,FINISH,100
RPT-0549,2026-02-12,DPR,Process C: FT201 loop check 90% complete,Abbreviation,PROGRESS,90
RPT-0550,2026-02-12,Supervisor Text,ft-201 loop testing begun at process c,Noisy,START,0
RPT-0551,2026-02-12,Supervisor Text,Loop Check work done.,Incomplete,FINISH,100
RPT-0552,2026-02-12,Field App,Instrument work finished.,Ambiguous,FINISH,100
RPT-0553,2026-01-28,Field App,Civil update: excavate of f-301 25% complete at Utility Area.,Normal,PROGRESS,25
RPT-0554,2026-01-26,DPR,F 301 excavate 50% complete in Utility Area.,Normal,PROGRESS,50
RPT-0555,2026-01-27,Voice Transcript,F301 foundation digging completed.,Abbreviation,FINISH,100
RPT-0556,2026-01-26,Supervisor Text,utility area f-301 excavate work finished,Noisy,FINISH,100
RPT-0557,2026-01-27,DPR,Foundation Digging work 40% complete.,Incomplete,PROGRESS,40
RPT-0558,2026-01-27,Voice Transcript,Foundation Digging completed.,Ambiguous,FINISH,100
RPT-0559,2026-01-31,Field App,F-301 concrete casting 60% complete in Utilities.,Normal,PROGRESS,60
RPT-0560,2026-02-01,DPR,Concrete Casting work for F 301 completed at Utility Area.,Normal,FINISH,100
RPT-0561,2026-02-02,Voice Transcript,Utilities: F 301 cast 50% complete,Abbreviation,PROGRESS,50
RPT-0562,2026-01-30,Field App,f301 pour concrete completd at utilities,Noisy,FINISH,100
RPT-0563,2026-01-31,DPR,F301 work 25% complete.,Incomplete,PROGRESS,25
RPT-0564,2026-01-30,Supervisor Text,Foundation work update: finished.,Ambiguous,FINISH,100
RPT-0565,2026-02-05,Voice Transcript,Curing work for F301 begun at UT-A.,Normal,START,0
RPT-0566,2026-02-06,Voice Transcript,Curing work for F301 90% complete at Utilities.,Normal,PROGRESS,90
RPT-0567,2026-02-04,DPR,F301 curing 10% complete @ UT-A,Abbreviation,PROGRESS,10
RPT-0568,2026-02-08,DPR,utility area f-301 cure work completd,Noisy,FINISH,100
RPT-0569,2026-02-08,DPR,F-301 curing commenced.,Incomplete,START,0
RPT-0570,2026-02-08,Voice Transcript,Foundation work begun.,Ambiguous,START,0
RPT-0571,2026-02-12,DPR,Mechanical update: erection of p-301 finished at UT-A.,Normal,FINISH,100
RPT-0572,2026-02-12,Voice Transcript,P 301 installation completed in UT-A.,Normal,FINISH,100
RPT-0573,2026-02-10,DPR,P-301 install finished.,Abbreviation,FINISH,100
RPT-0574,2026-02-10,Field App,utilities p301 erction work done,Noisy,FINISH,100
RPT-0575,2026-02-11,Supervisor Text,P 301 work done.,Incomplete,FINISH,100
RPT-0576,2026-02-11,Field App,Equipment work update: commenced.,Ambiguous,START,0
RPT-0577,2026-02-15,Field App,p-301 alignment finished in UT-A.,Normal,FINISH,100
RPT-0578,2026-02-14,DPR,Mechanical update: align of P-301 begun at Utilities.,Normal,START,0
RPT-0579,2026-02-14,DPR,UT-A: p-301 align completed,Abbreviation,FINISH,100
RPT-0580,2026-02-14,Supervisor Text,utility area p-301 align work 50% complete,Noisy,PROGRESS,50
RPT-0581,2026-02-15,DPR,P-301 work done.,Incomplete,FINISH,100
